pick_index,target,local_index,q1,q2,q3,q4,q5,q6
0,carton_front_l2_c0,61,-0.8575522341032332,-1.7619078418481409,-1.0647460789002123,-1.3747780929004172,-1.0859108180237445,-2.0473637585373936
0,carton_front_l2_c0,62,-0.8678957133508273,-1.7475440359767989,-1.0968763424887404,-1.391976094423375,-1.1056978806142976,-2.0868533283494823
0,carton_front_l2_c0,63,-0.8782391925984212,-1.7331802301054569,-1.1290066060772688,-1.4091740959463328,-1.1254849432048508,-2.1263428981615706
0,carton_front_l2_c0,64,-0.8885826718460151,-1.7188164242341148,-1.1611368696657967,-1.4263720974692902,-1.145272005795404,-2.165832467973659
0,carton_front_l2_c0,65,-0.8989261510936092,-1.7044526183627728,-1.1932671332543245,-1.443570098992248,-1.1650590683859572,-2.2053220377857476
0,carton_front_l2_c0,66,-0.9092696303412031,-1.690088812491431,-1.2253973968428524,-1.4607681005152053,-1.1848461309765104,-2.2448116075978355
0,carton_front_l2_c0,67,-0.9196131095887972,-1.675725006620089,-1.2575276604313808,-1.4779661020381631,-1.2046331935670636,-2.284301177409924
0,carton_front_l2_c0,68,-0.9529218526521718,-1.6883069424821362,-1.29730975056722,-1.4810765640665393,-1.2265865954489907,-2.290382556827562
0,carton_front_l2_c0,69,-0.9862305957155464,-1.7008888783441836,-1.3370918407030592,-1.4841870260949157,-1.248539997330918,-2.2964639362452
0,carton_front_l2_c0,70,-1.019539338778921,-1.7134708142062307,-1.3768739308388986,-1.4872974881232919,-1.270493399212845,-2.302545315662838
0,carton_front_l2_c0,71,-1.0528480818422956,-1.7260527500682779,-1.4166560209747379,-1.4904079501516683,-1.2924468010947723,-2.308626695080476
0,carton_front_l2_c0,72,-1.0861568249056701,-1.738634685930325,-1.456438111110577,-1.4935184121800444,-1.3144002029766995,-2.314708074498114
0,carton_front_l2_c0,73,-1.1194655679690446,-1.7512166217923724,-1.4962202012464163,-1.4966288742084208,-1.3363536048586266,-2.3207894539157516
0,carton_front_l2_c0,74,-1.1527743110324193,-1.7637985576544195,-1.5360022913822555,-1.499739336236797,-1.3583070067405538,-2.32687083333339
